Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,TotalPillar1,TotalPillar2
20200228,S12000005,Clackmannanshire,0,0,0,0,0,0,13,25.2231276678308,6,0,0,6,0
20200228,S12000006,Dumfries & Galloway,0,0,0,0,0,0,21,14.1072148327287,9,0,0,9,0
20200228,S12000008,East Ayrshire,0,0,0,0,0,0,10,8.196049504139,1,0,0,1,0
20200228,S12000010,East Lothian,0,0,0,0,0,0,13,12.1393220655523,7,0,0,7,0
20200228,S12000011,East Renfrewshire,0,0,0,0,0,0,4,4.18716633518267,3,0,0,3,0
20200228,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,1,3.74251497005988,2,0,0,2,0
20200228,S12000014,Falkirk,0,0,0,0,0,0,26,16.1601093915097,11,0,0,11,0
20200228,S12000017,Highland,0,0,0,0,0,0,29,12.2969935970826,4,0,0,4,0
20200228,S12000018,Inverclyde,0,0,0,0,0,0,9,11.5681233933162,0,0,0,0,0
20200228,S12000019,Midlothian,0,0,0,0,0,0,15,16.2232316677482,1,0,0,1,0
20200228,S12000020,Moray,0,0,0,0,0,0,11,11.4798580672094,2,0,0,2,0
20200228,S12000021,North Ayrshire,0,0,0,0,0,0,15,11.1325515808223,6,0,0,6,0
20200228,S12000023,Orkney Islands,0,0,0,0,0,0,4,17.961383026493,0,0,0,0,0
20200228,S12000026,Scottish Borders,0,0,0,0,0,0,25,21.643147779413,2,0,0,2,0
20200228,S12000027,Shetland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
20200228,S12000028,South Ayrshire,0,0,0,0,0,0,3,2.6640618062339,2,0,0,2,0
20200228,S12000029,South Lanarkshire,0,0,0,0,0,0,24,7.48759866471157,2,0,0,2,0
20200228,S12000030,Stirling,0,0,0,0,0,0,21,22.2906273219403,3,0,0,3,0
20200228,S12000033,Aberdeen City,0,0,0,0,0,0,32,13.9939651025495,0,0,0,0,0
20200228,S12000034,Aberdeenshire,0,0,0,0,0,0,34,13.0163470004977,4,0,0,4,0
20200228,S12000035,Argyll & Bute,0,0,0,0,0,0,3,3.49365319669268,0,0,0,0,0
20200228,S12000036,City of Edinburgh,0,0,0,0,0,0,126,24.0032004267236,37,0,0,37,0
